"OWC","eHRAF.Name","ID","EA.ID","PSF.Cluster","Coder","H.1.","H.2.a.","H.2.b.","H.3.","H.4.","H.5.","H.6.","H.7.3.","H.7.2.","H.8.","H.9.a.","H.9.b.","H.9.c.","H.9.d.","H.10.","H.11.","H.12.","periods","time","period.count"
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"30",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"30",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"30",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"30",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"60",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"60",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"60",4
"AA01","Korea",116,"Ed01","25","DR",5,"GEN","GEN","30,60 ",1,"Fl",2,2,2,2,3,NA,2,3,3,5,3,2,"60",4
"AA01","Korea",116,"Ed01","25","DR",11,"1871","1872","90",1,"Dr",2,1,1,2,4,NA,4,1,4,3,3,1,"90",1
"AA01","Korea",116,"Ed01","25","DR",14,"1919","1919","30",1,"Dr",2,1,1,2,4,NA,1,1,4,3,3,1,"30",1
"AA01","Korea",116,"Ed01","25","DR",18,"1939","1939","30",1,"Dr",2,1,1,2,4,NA,NA,1,4,3,3,1,"30",1
"AA01","Korea",116,"Ed01","25","DR",19,"1946","1946","30",1,"Dr",2,1,1,2,NA,NA,NA,NA,NA,3,3,1,"30",1
"AA01","Korea",116,"Ed01","25","DR",21,"1946","1946","30",1,"Fl",2,2,2,2,3,NA,NA,2,3,3,3,1,"30",1
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
"AA01","Korea",116,"Ed01","25","DR",24,"GEN","GEN","30,60",1,"GsEp",2,2,2,2,1,1,2,2,2,7,3,2,"30",20
