"H.1.","H.2.a ","H.2.b","H.3.","H.4","H.5.","H.6. ","H.7.","H.8.","H.9.a.","H.9.b.","H.9.c.","H.9.d. ","H.10.","H.11.","ID"
"08","GEN","GEN","30,60","2","Dr","2","1","1","3","3","1","1","3","3","001XXXXDR.XX.DR"
"09","GEN","GEN","30,60","2","Lo","2","2","1","3","1","1","1","3","99","001XXXXDR.XX.DR"
"10","GEN","GEN","30,60","2","PE","2","2","1","4","1","1","3","4","99","001XXXXDR.XX.DR"
"01","GEN","GEN","-30, -60","2","Dr","2","1","1.5","4","1","3","1","4","5","002XXXXCH"
"25","GEN","GEN","-30, -60","2","ET","2","2","3","2","1","99","1","2","5","002XXXXCH"
"26","GEN","GEN","-30, -60","2","ER","2","2","3","3","1","2.5","1","3","99","002XXXXCH"
"27","GEN","GEN","-30, -60","2","Wi","2","2","3","1","1","1","1","1","5","002XXXXCH"
"29","GEN","GEN","-30, -60","2","Fi","88","2","3","2","1","1","2","2","5","002XXXXCH"
"30","GEN","GEN","-30, -60","2","Th","2","2","1.5","1","1","2","1","2","99","002XXXXCH"
"31","1947","1947","-30","2","Dr","2","2","1.5","4","1","4","1","4","NA","002XXXXCH"
"01","GEN","GEN","30, 60","2","DRn","2","1","1.5","3.5","99","99","99","3.5","3","004FQ09AD.SK"
"06","GEN","GEN","30, 60","2","Fl","2","1","1.5","4","99","99","99","4","3","004FQ09AD.SK"
"07","GEN","GEN","30, 60","2","Fl","2","2","1.5","4","99","99","3","4","3","004FQ09AD.SK"
"01","GEN","GEN","30,60","2","Dr","2","1","2","99","99","99","99","99","5","005FP13DR"
"04","GEN","GEN","30,60","1","GsEp","2","2","2","2.5","1","1","4","4","5","005FP13DR"
"07","1840","1840","60","1","Dr","2","1","2","3","99","99","99","3","NA","005FP13DR"
"08","1846","1846","60","1","Dr","2","1","2","3","99","99","99","3","NA","005FP13DR"
"09","1875","1875","30","1","Dr","2","1","2","3","99","99","99","3","NA","005FP13DR"
"10","1890","1890","30","1","Dr","2","1","2","3","99","99","99","3","NA","005FP13DR"
"01","GEN","GEN","30, 60","2","Lo","99","2","1","4","1","1","1","4","2","007FQ05AD"
"02","GEN","GEN","30, 60","2","PE","99","2","1","4","1","1","1","4","2","007FQ05AD"
"03","GEN","GEN","30, 60","2","Th","2","2","3","0.5","99","99","99","3","5","007FQ05AD"
"04","GEN","GEN","30, 60","2","Fi","2","2","1.5","0.5","99","99","99","3","4","007FQ05AD"
"01","GEN","GEN","30,60,90","2","Dr","2","1","1","2.5","1","1","1","2.5","2","008XXXXDR.XX.DR"
"11","GEN","GEN","30,60","2","Lo","1","2","1","2.5","99","99","1","2.5","2","008XXXXDR.XX.DR"
"12","GEN","GEN","30,60,90","2","Fl","2","2","1","99","99","99","99","99","2","008XXXXDR.XX.DR"
"10","1888","1888","60","2","PE","1","2","1","2","99","99","1","2","NA","008XXXXDR.XX.DR"
"02","1892","1893","60","2","CP","1","2","1","4","3","99","1","4","NA","008XXXXDR.XX.DR"
"05","GEN","GEN","30,60","2","Wi","2","2","3","2","99","99","99","2","5","012FK07DR.XX.DR"
"06","GEN","GEN","30,60","2","Th","2","2","1.5","2","1","2.5","1","2.5","5","012FK07DR.XX.DR"
"07","GEN","GEN","30,60,90","2","Dr","2","1","1","3","99","99","1","3","2","012FK07DR.XX.DR"
"01","GEN","GEN","-30, -60","2","Th","2","2","1","0.5","99","2","99","2","4","013FO04DR.SK.DR"
"02","GEN","GEN","-30, -60","2","GsEP","2","2","1","3","99","2","99","3","3","013FO04DR.SK.DR"
"03","GEN","GEN","-30, -60","2","Fl","2","2","1","3","99","2","4","4","4","013FO04DR.SK.DR"
"04","GEN","GEN","-30, -60","2","PE","1","1.5","1","4","99","99","4","4","3","013FO04DR.SK.DR"
"01","GEN","GEN","60, 90","2","PE","99","99","1","3","1","1","1","3","1","016FF57AD"
"02","GEN","GEN","30, 60","2","Wi","2","2","1","3","1","1","3","3","4","016FF57AD"
"04","GEN","GEN","30, 60","2","Dr","2","1","3","2","1","1","1","2","5","016FF57AD"
"01","GEN","GEN","30,60","2","Ea","1","2","1",".5","99","99","2","2","3","019FE12DR"
"02","GEN","GEN","30,60","2","Fl","99","1","3","1","1","1","4","4","4","019FE12DR"
"10","GEN","GEN","-30, -60","2","SDS","2","2","1.5","2","99","99","99","2","5","021MS30SK.XX.AD"
"11","1948","1948","-30","2","Dr","2","1","1","3","99","99","99","3","NA","021MS30SK.XX.AD"
"05","1948","1948","-30","2","PE","2","2","1","3","99","99","99","3","99","021MS30SK.XX.AD"
"06","GEN","GEN","30, 60","2","Dr","2","1","1","3","99","99","1","3","2","022XXXXAD"
"09","GEN","GEN","30, 60","1","Wi","2","2","3","0.5","99","99","99","3","5","022XXXXAD"
"12","GEN","GEN","-30, -60","2","To","2","2","1.5","3","1","1","1","3","2","023XXXXCH"
"13","GEN","GEN","-30, -60","2","ER","2","2","1","3","1","1","1","3","5","023XXXXCH"
"14","GEN","GEN","-30, -60","2","PD","1","99","1","3","1","1","1","3","99","023XXXXCH"
"02","GEN","GEN","-30, -60","2","Lo","1","1","1","5","1","1","1","5","3","023XXXXCH"
"03","GEN","GEN","-30, -60","2","Dr","2","1","1","5","3","99","1","5","3","023XXXXCH"
"09","1934","1934","-30","2","Dr","2","1","1","5","1","99","1","5","NA","023XXXXCH"
"04","GEN","GEN","30, 60","2","Th","2","2","1.5","0.5","1","3","1","3","5","024XXXXAD"
"05","GEN","GEN","30, 60","2","To","2","2","1.5","0.5","99","99","99","0.5","5","024XXXXAD"
"02","GEN","GEN","30, 60","2","To","2","2","1.5","2","99","99","99","99","4","025XXXXDR.XX.AD"
