"SCCS.Name","PSF.Cluster.Number","OWC","eHRAF.Name","Principle.Authorities","Place.Focus","Ethnographic.Present","Coder","Coding.Date","Revision.Date","ID","EA.ID","PSF.Cluster"
"Nama Hottentot",NA,"FX13","Khoi","Hoernlé, W. 1923.Schultze, Sigmund, Knight, and Ziolkowski 1907.","Gei/Khauan tribe.","1860","Coded by DR and revised by DR",2022-11-21,NA,1,"Aa03",NA
"!Kung Bushmen",NA,"FX10","San","Marshall, J. 1958; Marshall, L. 1957, 1965, 1976; Thomas 1959","Nyai Nyae region, Namibia","1950","CH",2022-11-10,NA,2,"Aa01",NA
"Lozi","2","FQ09","Lozi","Gluckman, 1941; 1959; 1967","Ruling Luyana","1900","Resolved between AD and SK",2023-01-09,NA,4,"Ab03","2"
"Mbundu",NA,"FP13","Ovimbundu","Childs, 1949","Bailundu subtribe","1890","DR",2022-10-24,NA,5,"Ab05",NA
"Bemba","3","FQ05","Bemba","1. Brelsford, 19442. Labrecque and Horine, 19313. Richards, 19354. Richards, 19375. Richards, 19396. Richards, 19407. Richards, 1956","Zambia branch","1897","AD",2022-10-17,NA,7,"Ac03","3"
"Nyakyusa",NA,"FN17","Nyakyusa and Ngonde","Wilson, G. 1938Wilson, G. 1939Wilson, G. 1936Wilson, MH. 1959Wilson, MH. 1951Wilson, MH. 1957","Age Villages nearMwaya and Masoko","1934","Coded by DR and revised by DR",2022-10-10,NA,8,"Ad06",NA
"Ganda","04","FK07","Ganda","Roscoe, J 1911Mair, L.P. 1934","Kyaddondo District around Kampala","1875","Coded by DR and revised by DR",2022-10-12,NA,12,"Ad07","4"
"Mbuti Pygmies","1","FO04","Mbuti","Turnbull 1962, 1965a,  1965b","Epulu net hunters of the Ituri Forest","1950 (SCCS)*1930 (EA)*used SCCS EP","Resolved between DR and SK then revised by DR",2023-01-09,NA,13,"Aa05","1"
"Tiv","9","FF57","Tiv","1. Abraham, 19332. Akiga, 19393. Bohannan, 19524. Bohannan, 19535. Bohannan, 19546. Bohannan, 19557. Bohannan, 19578. Bohannan, 19689. Bohannan and Bohannan, 195310. Bohannan and Bohannan, 196811. Bohannan and Bohannan, 196912. Downes, 193313. Price-Williams, 1962","Benue province","1920","AD",2022-10-17,NA,16,"Ah03","9"
"Ashanti","6","FE12","Akan","Rattray 1923","Kumasi state","1895","DR",2022-10-18,NA,19,"Af03","6"
