"","OWC","ID","EA.ID","period","OvHz.time","Name","latitude","longitude"
"1","AA01",116,"Ed01",30,"1917-1947","Korea",37.48,126.63
"2","AB06",118,"Ec07",30,"1850-1880","Ainu",43.77,142.37
"3","AB43",117,"Ed05",30,"1920-1950","Okayama",35.43,133.35
"4","AD05",201,NA,30,"1929-1959","Taiwan Hokkien",24,121
"5","AM11",73,"Ej04",30,"1900-1930","Vietnamese",20.8,106.63
"6","AO07",76,"Ej09",30,"1925-1955","Central Thai",13.73,100.57
"7","AP04",71,"Ei03",30,"1935-1965","Burmans",21.98,96.1
"8","AW19",63,"Ef11",30,"1915-1945","Uttar Pradesh",25.45,81.73
"9","EF06",204,"Ch01",30,"1920-1950","Serbs",43.5,21.25
"10","EP04",52,"Cg04",30,"1920-1950","Saami",68.45,22.5
"11","FA08",22,"Ag01",30,"1872-1902","Bambara",12.9,-7.3
"12","FE11",23,"Ag04",30,"1904-1934","Tallensi",10.5,-0.4
"13","FE12",19,"Af03",30,"1865-1895","Akan",6.72,-1.6
"14","FF57",16,"Ah03",30,"1890-1920","Tiv",6.47,7.55
"15","FK07",12,"Ad07",30,"1845-1875","Ganda",0,32.4
"16","FL12",34,"Aj02",30,"1870-1900","Maasai",-3.33,36.62
"17","FN17",8,"Ad06",30,"1904-1934","Nyakyusa and Ngonde",-9.3,34.7
"18","FO04",13,"Aa05",30,"1920-1950","Mbuti",2.1,28
"19","FO07",28,"Ai03",30,"1875-1905","Azande",4.5,28.4
"20","FP13",5,"Ab05",30,"1860-1890","Ovimbundu",-12.5,16.3
"21","FQ05",7,"Ac03",30,"1867-1897","Bemba",-9.8,29.08
"22","FX10",2,"Aa01",30,"1920-1950","San",-19.5,18.3
"23","MA11",57,"Ci11",30,"1921-1951","Kurds",35.47,44.4
"24","MB01",47,"Ci05",30,"1920-1950","Turks",40,32.9
"25","MD04",46,"Cj02",30,"1883-1913","Rwala Bedouin",34.55,38.3
"26","MO04",36,"Ca02",30,"1870-1900","Somali",9.52,45.57
"27","MP05",37,"Ca07",30,"1923-1953","Amhara",14.1,38.8
"28","MP17",35,"Ca01",30,"1905-1935","Konso",5.28,39.75
"29","MS12",26,"Cb26",30,"1870-1900","Hausa",10.6,7.45
"30","MS20",24,"Cb03",30,"1910-1940","Songhai",16.72,-3
"31","MS22",40,"Cc02",30,"1920-1950","Teda",20.5,16.2
"32","MS30",21,"Cb02",30,"1920-1950","Wolof",13.53,-14.77
"33","MT09",208,"Cd20",30,"1890-1920","Libyan Bedouin",26,24
"34","MW11",209,"Cd05",30,"1890-1920","Shluh",30.5,-8
"35","MX03",42,"Cd03",30,"1896-1926","Berbers of Morocco",34,-5
"36","NA12",210,"Nb22",30,"1850-1880","Tlingit",57.34,-133
"37","ND08",124,"Na03",30,"1885-1915","Copper Inuit",67.82,-115.15
"38","NE09",131,"Nb01",30,"1845-1875","Haida",54,-132.2
"39","NF06",211,"Ne12",30,"1820-1850","Blackfoot",55,-115
"40","NG06",127,"Na33",30,"1900-1930","Ojibwa",50.5,-96
"41","NM09",212,"Ng10",30,"1720-1750","Iroquois",43,-75
"42","NQ18",142,"Nf06",30,"1837-1867","Pawnee",42.07,-100.25
"43","NR10",138,"Nc08",30,"1830-1860","Klamath",42.2,-121.8
"44","NT09",213,"Nh18",30,"1890-1920","Hopi",35.5,-110.5
"45","NT14",150,"Nd03",30,"1888-1918","Havasupai",35.3,-112.2
"46","NU33",214,"Ni01",30,"1900-1930","Tarahumara",28,-107
"47","NU44",215,"Nj10",30,"1910-1940","Zapotec",16,-97
"48","OA19",112,"Ia03",30,"1880-1910","Ifugao",15.77,121.57
"49","OC06",85,"Ib01",30,"1920-1950","Iban",2.33,111.83
"50","OE05",83,"Ib02",30,"1924-1954","Javanese",-7.6,112.3
"51","OF07",84,"Ib03",30,"1928-1958","Balinese",-8.75,115.17
"52","OG11",87,"Ic05",30,"1880-1910","Eastern Toraja",-3,120.2
"53","OI08",91,"Id01",30,"1866-1896","Aranda",-23.8,133.9
"54","OI20",90,"Id03",30,"1899-1929","Tiwi",-11.32,131.77
